sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO1694037850774917     DX4397-200      32.4    22.8    12      1       8864.64
TBBJ2309059856  FB9019-106      32.4    22.8    12      1       8864.64
ODO1693905846246306     FB2219-087      32.4    22.8    12      1       8864.64
BSIN2309064387  FQ1304-100      32.4    22.8    12      1       8864.64
TBBN2309025072  DR6957-100      32.4    22.8    12      1       8864.64
ODO1694018691673592     DM0967-148      32.4    22.8    12      1       8864.64
ODO1694018691673592     DM0967-148      32.4    22.8    12      1       8864.64
ODO1694060041615771     DX4397-200      32.4    22.8    12      1       8864.64
ODO1693865090866404     FB2219-087      32.4    22.8    12      1       8864.64
ODO1693884005366814     FN8901-164      32.4    22.8    12      1       8864.64
BSIN2309040358  DX4397-200      32.4    22.8    12      1       8864.64
TBBJ2309021335  DV0426-012      32.4    22.8    12      1       8864.64
TBBJ2309031469  DX4401-800      32.4    22.8    12      1       8864.64
BSIN2309057617  DX4397-200      32.4    22.8    12      1       8864.64
ODO1694016472438538     FJ7684-151      32.4    22.8    12      1       8864.64
ODO1694023071376931     DX4397-200      32.4    22.8    12      1       8864.64
ODO1694296926928884     DR6957-100      32.4    22.8    12      1       8864.64
ODO1694296926928884     DR6957-100      32.4    22.8    12      1       8864.64
TBBJ2309035006  DM0967-148      32.4    22.8    12      1       8864.64
ODO1694020429567183     DH2987-101      34.8    21.2    12      1       8853.12
TBNK2309263576  DV1403-110      34.8    21.2    12      1       8853.12
BSIN2309053847  DM8449-101      34.8    21.2    12      1       8853.12
ODO1693866973820512     DC3728-003      34.8    21.2    12      1       8853.12
ODO1693866973820512     DC3728-003      34.8    21.2    12      1       8853.12
ODO1694022049688961     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694014670260538     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694009032227141     DR2695-101      34.8    21.2    12      1       8853.12
ODO1694022049688961     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694014670260538     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694021030092210     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694021030092210     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694022049688961     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694022049688961     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694021030092210     DH2987-101      34.8    21.2    12      1       8853.12
ODO169389600466478      DC3728-003      34.8    21.2    12      1       8853.12
ODO1694021030092210     DH2987-101      34.8    21.2    12      1       8853.12
TBNK2309149654  DZ3014-002      34.8    21.2    12      1       8853.12
BSIN2309035459  DR5753-001      34.8    21.2    12      1       8853.12
TBNK2309309018  DH2987-103      34.8    21.2    12      1       8853.12
TBNK2309261519  DC3728-003      34.8    21.2    12      1       8853.12
BSIN2309016924  DR2665-101      34.8    21.2    12      1       8853.12
ODO1694016709927994     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694016709927994     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694016709927994     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694016709927994     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694009031613111     DR2665-101      34.8    21.2    12      1       8853.12
TBNK2309259092  DR2665-100      34.8    21.2    12      1       8853.12
BSIN2309059653  DR2665-101      34.8    21.2    12      1       8853.12
ODO1694098923602661     DR5753-001      34.8    21.2    12      1       8853.12
ODO1694186642372941     DC3728-003      34.8    21.2    12      1       8853.12
ODO1694020429567183     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694020429567183     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694020429567183     DH2987-101      34.8    21.2    12      1       8853.12
ODO1694008911061936     DZ7534-300      33.5    20.8    12.7    1       8849.36
ODO1694002860538466     DZ7534-300      33.5    20.8    12.7    1       8849.36
TBNK2309147729  DC3729-106      33.5    20.8    12.7    1       8849.36
ODO1694174043656448     DC3729-106      33.5    20.8    12.7    1       8849.36
TBNK2309315357  DN1856-002      34.4    20.4    12.6    1       8842.18
TBNK2309339580  DN1856-002      34.4    20.4    12.6    3       26526.5
ODO1694008917768369     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694268471849891     DN1856-002      34.4    20.4    12.6    1       8842.18
